10C 8C 9S 6S 3H 3S JD ,    Pair
2H 6S KD 8C 7H QH 9D ,    High Card
KH QC 10D 4C 5S AC 7C ,    High Card
KC 6H 9S 3H 8S AD AS ,    High Card
10S 7H 7C 8D 4S 3C 3D ,    Two Pair
QH AS 8C 10C 3H JC 3S ,    High Card
QC AC 9D 9C AH 2S JD ,    Pair
4H 5S 10H 5C 6D 6H 2H ,    Two Pair
2C 4S 10S QC KH 3C KS ,    High Card
10H QS AD 8H 6C 7H 10D ,    High Card
8S 5S 7C AC 8D 9C 6S ,    Straight
4H KC 8D KH 9D AD AH ,    High Card
QH 9S 8H AC 2H 7H 3C ,    High Card
2C JS KD KS 3S 10D 7C ,    Pair
6D 6H 9H JC 10H 2S AS ,    Pair
9H 7H 2D AC 4H KC KD ,    High Card
5C JD AH 5H 10D 2H AD ,    High Card
3S 6H 6C JS 3D 10H 10S ,    Two Pair
3S AC 8C QS AH 9H 7H ,    High Card
8S AD 6H 9C KD KH 8H ,    Pair
8D 4S 3C 4C JS JH QC ,    Pair
7C 5C 2S KC JC KS 5H ,    High Card
QC QD JC 4H 4D 5H KD ,    Two Pair
5S AS 10H 3D JD 10S QS ,    High Card
AD 7H 6S JS 8S QH 9C ,    High Card
AC 10D 8S 8D 8H 6C 2D ,    Pair
4H QD AS 3S 3C 4C 9D ,    Pair
10H 10S KC 5C 5S 3D 9S ,    Pair
2C 5D JH 7H 4S 6S KD ,    High Card
7H JD JS 2C QD KH 6S ,    Pair
9H QH 6C 3C 10S AC JC ,    High Card
4S 8C QC 8H 9D 10H 9C ,    Pair
QS KC 3H AS JS 8H 7C ,    High Card
2C 8D 3S 6D 5S AD AH ,    High Card
KH 2H 10D 4H 8S 10S 6S ,    High Card
8C QH 4D 2D 4C 7S 5D ,    High Card
4H KC 6D 8S 10H 6C 9S ,    High Card
8H KS JD 5H QS 2C 3H ,    High Card
8D 9D JC 8C 6H 10D 5S ,    High Card
10H 4H KH JH JC 3C 7S ,    Pair
10S QH 9D 4S 3D AC 5D ,    High Card
5H 2S 8C 3S 6D 2H 6H ,    High Card
JD 6C KD 3C KH 5C 7C ,    High Card
QC 7H 10D 8S 5S 8H 4C ,    High Card
QS AH QH 2C 4H 8C KS ,    Pair
QD AS 4C 7H 5C 9H 8H ,    High Card
JS AC 9S 3C 3S 6S 3H ,    Pair
9D 6S 2H KC JS 2C 8D ,    High Card
AD AS 8C 4H 4C 5S 7H ,    Two Pair
3S 5H 5D 10S KS 4D 6C ,    Pair
4S 7D QH JC QS 8H 7S ,    High Card
JC 8H 4D 2S 8D 4S 7H ,    High Card
9D JD 9C 3D JS 7C 10D ,    Pair
10S 2C 8S QH QD 3S AD ,    Pair
QH JH 8C 6H 4C JD 2H ,    High Card
5H 6D QC 2S 3H AC 5D ,    High Card
3D 8H 2D 7C JC KD AS ,    High Card
9C 6C 10H 8D 5C QD 7D ,    Straight
3H JS 2H 2D 10C 5C QH ,    Pair
6C 4H 7C KC 9H 4D 8S ,    High Card
5D 5S 8C 3D QD JC KS ,    Pair
3C JC 9D 8S 7S 5D 2H ,    High Card
10D 6C JD 6D QS KS 4C ,    High Card
2S KH 6S AS JS 10C 7D ,    High Card
2D QC 8H 4H 9S 6H 5C ,    High Card
3C 10H AC 10D 9S 7D 4H ,    High Card
2D QC 9C 9H 2H AD 6C ,    Pair
2S 5S KC 2C 5C 8C 4D ,    High Card
5D KH 8H 8S 3H KD QS ,    Pair
9S 9D 3S 7H KC 2H 7C ,    Pair
9C 6S 10H JH KS 6H 10S ,    High Card
9H 6C 3C 10C JC AD 3D ,    High Card
KD 6H 4S 10H 9S 8D KC ,    High Card
5C 7H 7D 10C QS JS QC ,    Pair
8S 2C 7C 5H 2D QH KH ,    High Card
AS 5S 8S 8H 10H QD JC ,    Pair
9D QH AC JH JD 2S 5C ,    Pair
QS 2H 3S 5H 7S KS 4S ,    High Card
3D 9S AD 5D 6H 2D 7C ,    High Card
QD 3D 2H KC 4H 10C 8D ,    High Card
3C 6C 3H 5S 7S 8S 6D ,    Pair
QH 4D AS QS 3S 10S 5C ,    High Card
JD 4D 9C 10H 9D 6S 4H ,    Pair
7C 2D AH JS QS 8C 5D ,    High Card
9H 2C KS 2S 10C KH 6D ,    High Card
3C 7H 7S 6H 7D QH 3D ,    Pair
2D 4S 4H 10D QC 3D 5C ,    Pair
7H 10H JS 3S 7C 5D QS ,    High Card
5S KH 7D 5H QD 2H 9S ,    High Card
2C KH 9D 10D JS QD 6H ,    High Card
KD 10H 5S 8D QS 9H 6S ,    High Card
3H QC JC AD 5D 9S 2H ,    High Card
5H 7C 8C 8S QD 4H JS ,    Pair
AC 6D 2C 3D 2D JD 10D ,    High Card
KC 6S AH 8D 7D 2H 6H ,    High Card
9D 2C KH 4C 10C 4D 8S ,    Pair
JH 2S 9C 5S 3C 4H QH ,    High Card
10H 5S 8D 9H JD 2S 10C ,    High Card
KD 7S 5C 9C AC 4D 4C ,    High Card
2C QC 7D 10S AD JH 3H ,    High Card
7H 5D JC 2H 3D KH 5H ,    High Card
QS 2C 3C QC 9D 9H 5D ,    Pair
KC 6C KH JH 4C KD 6D ,    Pair
8H 8C 5S AC QD 10D 7D ,    Pair
10D 9D AD 3D 6C 6D 10S ,    Pair
QC 9H JD 9C JH 7D QS ,    High Card
4C 10H 7S 3H KC 8H KH ,    High Card
2C 2H 5S 7C 2S 7H 6H ,    Pair
KH 8D 8S 3H 3S 8C 5H ,    Two Pair
9C 10H 8H 4C 10S QC 5S ,    High Card
QD 2H 5D KD 3D 6D 6S ,    Flush
AC 6D 9D QD 7C 4H 7S ,    High Card
6C 7D 10H 5H KD JD 8C ,    High Card
3C 4S 8S QH KC 6H 3H ,    High Card
2H 5C 10C JS 9C 10D 3S ,    High Card
3D 7D 2H KS 4H 9D 10C ,    High Card
7H QS 10S 4S 2D KD 8H ,    High Card
JC QC JS 5S KH KC AC ,    Two Pair
6C 10S AS 6H 7H AD 5C ,    High Card
6S 3S AC 10H AH 2D 4C ,    Pair
JD 3C JH QD 3H QC 8C ,    Pair
2S 9H 10D 6D 4H 7D KS ,    High Card
AC 10S QC AD 6S 9D 7C ,    High Card
2S JD 8S 3S KD QS AS ,    High Card
2D 3D 7H 3C 8D KH 4S ,    High Card
JS 3D JC QD QS AD 7H ,    Two Pair
KC 5D 5H 10H AH 6S 8D ,    Pair
7D 10D KH KD QC 4H 10C ,    Pair
AS 6C 3C 10S JD 4C KS ,    High Card
AH 4H QD 6S AS AD 10H ,    Pair
8C 5C AC 3S KS KC 9D ,    Pair
10S 4C 9S 7D 6H 3H 6D ,    High Card
QS AD 3H 6D QH QC 6H ,    Pair
8H KS 5C 3S AC 7D JH ,    High Card
7S 10H 5H 4D JC 8S 4H ,    High Card
6C 8C QD 4S KH 5S KC ,    High Card
6H 3C 9S 10D 7D 9C 6C ,    High Card
KC 9H JS 5S 8H JH 4D ,    High Card
6D 7C 3D KS AS 6S QD ,    High Card
AH 6H 3S 5S JD 3H 9D ,    High Card
4C 4D 4H 10D 9S JC 3S ,    Three Kind
10C 6C 7H AD 7C 2C 8S ,    High Card
KD 2S 7D 9D JH QC 9C ,    High Card
5D KS 5S JS AH 3H 3D ,    Two Pair
AH QC 7C 2H 3H 9H 3C ,    High Card
8D 10C 10D 2D 6C 5S JC ,    High Card
8H 8C JD 2S 7S KH 4C ,    Pair
8C 7C 3H QH 9D 10S 2S ,    High Card
9C 2C 5H 5C 2H 4S 4H ,    Two Pair
2D KH QS 7D 6D KS 6C ,    High Card
AH 9H AC QC KD JH JC ,    Two Pair
8H 6D 4H 9D 7H 2C 10C ,    High Card
8S 7S 4C JH QD 5C 7C ,    High Card
9H 8D 9C AH 4D QS 2H ,    Pair
AH 5H 9S AS KH 8D 7D ,    High Card
3D KS 2H 9H AD 7C KD ,    High Card
5D JD 9C 2S 2C 10C QD ,    Pair
QC AC 2D 3S 4C 6D 7S ,    High Card
KC 8H JH AC QH 4C 3S ,    High Card
3D KD QD QC 7D 9S 10D ,    Pair
QS 9D 5H 8D 5S 10S 4H ,    High Card
KC 8C 7D 3S 6H JS QC ,    High Card
9S AH 3H 5D 10H 4H 4S ,    High Card
5S KD 4C 10S 2H QH 5C ,    High Card
7S JD 3D 9C 9D AC JC ,    Pair
8H 4S AC QH AH 5D 10D ,    High Card
4C QD QS 6H 6D 2C JC ,    Two Pair
10S 4H AS 7D 2D 7S 3H ,    High Card
AS 6D 4D 2H AH QS 9C ,    High Card
10D 10S JS 6S 7S QD 9H ,    High Card
9S 6H JD 8H 7D 4C 5S ,    Straight
8D 6C 4S 10H KH QC KC ,    High Card
AD KC 3S JS 10C QS 8C ,    High Card
9S 7D 9D 6H 6S 2S QD ,    Two Pair
6C 10D 5H KS 3C JH 9H ,    High Card
6D KC AC 9S 7C QS 3H ,    High Card
AD 10D JH 4S KS 5S AS ,    High Card
9D 10S 5D KH 6C 7S JD ,    High Card
7D 4H 9H KD 6H QD JC ,    High Card
AD 2H 4S 6D 9D 3S KC ,    High Card
7S 3C QH 4C 9S KD QS ,    High Card
10D KH 10C 4H 8C 10H AS ,    High Card
7H 10H 7S 4H 4C AC 6D ,    Two Pair
8S 5H 4S 9H QD KS AS ,    High Card
4D 7C 7D 9C 10S 8H 2C ,    Pair
6C 3H 5C QH JS 5D KC ,    High Card
JC JS 8D 6S AD KH QH ,    Pair
2D 6C 2C 7D KD 8H 4C ,    Pair
5C 9C 7S QD 5D AC 4H ,    High Card
2S QD 5D 8C 2C AS 3S ,    High Card
10C 3C AH KH 3H 4D 9H ,    High Card
KS JS JH AS 8C 7C 7D ,    Two Pair
2H 10H 9D QS 6H JD 8D ,    High Card
QD 2D 8H 9S AD 8S 9C ,    High Card
4H 5S AS 8C KH 10C KD ,    Pair
10H QC QD 10D 10S 9H AH ,    Pair
KC 7C AC 5D 7S 4D 3D ,    High Card
JC 9D 2H 2C 7D 7C KC ,    Two Pair
AS 7H 10H KD 10D 6S KS ,    High Card
3H AD QD JS 7S 6D 3C ,    High Card
4C 10C 9S 5D 8S AH 8H ,    High Card
AH 6H 3D KD JS QC 8H ,    High Card
8D 7H 7C 4H 7S 9H QH ,    Pair
AS 6C 4C AD QD 6S 9S ,    High Card
5H 8D 7H 3H 8C 6H 2H ,    High Card
6C 5D 3D 3S 3C 9H 8H ,    Pair
6S JC 2S 9S AD 10H 5C ,    High Card
KC 7S QS 2D KH 2C AC ,    High Card
QH QC QD 8S AC 5H 9C ,    Three Kind
6S AD 4H 4C QS 9S 6C ,    Pair
3D JH KS 4D KH 2H 3S ,    High Card
8H 5S AC 3D 8S 10H JS ,    High Card
10C 3S 5D AS 10S 9D KS ,    High Card
2S 8D KC JC 5C 9C 3C ,    High Card
7D QH KD 4H QS 7S AH ,    High Card
7D 6D QH 4H QS JS QD ,    High Card
7H 10S 5S 6S 5C 10D 8H ,    High Card
7C 3S 4C 8C 9H 9C 6H ,    Pair
8C 4D 2D 7H 3S 10D JS ,    High Card
JD 7C 5C 4C 5S 2S 5D ,    High Card
QH 3D 9C 8S 2H 9H KC ,    High Card
AH KH 5H 3C 7D 6C 3H ,    High Card
5D 10S 8H 10D 3H JH 3C ,    High Card
6D 2S 2H KS KD 4S 4C ,    Pair
5H KH 4D 2D 9D QD 9C ,    High Card
4C 7D 6H KC 10S 6S 6C ,    High Card
8H KS AD 7S 7C 2S 9D ,    Pair
2D AS QC 8D 3C 7H 2C ,    High Card
3S 9H 3H QH 9S 4D 10D ,    Pair
10D AC 9H 9D 3C 7H 2H ,    Pair
7S 6H KD QS 10S QD 4S ,    Pair
8S AD QH 3D 5S 8H 8C ,    High Card
9S 4C QS 8D AH AD 8H ,    Pair
10C 9C 7H 8C KH 9D 4D ,    High Card
KS 6D 5S 7C 9H 10D 5H ,    High Card
JH 10S 5C 3H 6C 6S QD ,    Pair
10S AD 6S 4C KC JD 6D ,    High Card
3D 10D 3C 5H 5S AC 10C ,    Two Pair
AH QC 6H 8S KH 2D 7D ,    High Card
8C 6D AC 8H 2S 10C 5D ,    High Card
JS 6D KD 9H 3D 3S 4S ,    Pair
10C 5C 10D 10S 5H 8C 6C ,    Pair
9C JD QD 3C 8S 8D 4C ,    Pair
3H QH QS 7H JC 4H 7C ,    Pair
3C 4S 4C 5S 7S 6H KH ,    Straight
AD KD 7C 8D 9H 5H AC ,    High Card
JS 8C AS 3S 10H 3D 7H ,    Pair
3S 9D 3D QS 10C 6S QC ,    Pair
5C 3C 7H 9S 7C 8H 10H ,    High Card
5S AH AS 6C 7S 2C 4D ,    Pair
3H QH JC JH 4H 4S 8C ,    Two Pair
4D KC 5D 5C AH KH 8H ,    Pair
2D 10C 3C 10S 4S 6C KD ,    High Card
6D 2S 6S QH JH 5S 6H ,    Pair
5H 9S KD 10H 5C 4H 7C ,    High Card
4S 10C QC 4D 9C 6S AC ,    High Card
7H KH 10D JS 3C 6H QD ,    High Card
AS 7S 2S 8H 9H 2H 6D ,    High Card
KH 4D 8S KD KS JH 3C ,    Pair
2D JS 10H 5H 5D 3D AC ,    Pair
6C 2S 8H 6H 7C QD 7D ,    High Card
6H KS 5H 10D 8C AS 5D ,    High Card
4S AC QH 7H 10H JD 9C ,    High Card
7S AD QD 6S 2C 7D 9D ,    High Card
9H 3S KH JS 6C 2S 4C ,    High Card
10C KS 9C 4C KD JH AD ,    High Card
5C 2C 4S 8H AC JD 3H ,    High Card
4D 2H AS QC 8C KC 3C ,    High Card
10H KC AH 8S 2C 10S AD ,    High Card
2S AC 3D 5H 3S 5C 6D ,    High Card
7C 7D QS 8D KD JD 6C ,    Pair
4C QH 9D 9S 2H QD QC ,    Two Pair
AH 9H JC 6C 7C 5D KC ,    High Card
JD 10C 8D 4H 2D AD 5C ,    High Card
10D 4D 2C 7D 8S 7S KH ,    High Card
QC 4H 8C 4S 9D QS 9H ,    High Card
JC 3C 2H 7D 5H 6H KD ,    High Card
JD 2C 10D JH KC 8S QH ,    Pair
10S QD 5D 10C 10H 6D 4C ,    High Card
QC 9D AD 2D 5D AS 3D ,    High Card
QH 7H 2C JS 10C AH QS ,    High Card
5S KH 8H JH JC 5H KS ,    Pair
JH 8S 7D AC 5S KD KH ,    High Card
10D 4H 3H 2D 8D 6D JS ,    High Card
JC AS 9D 3D 5H 4S 2H ,    High Card
7S 3C 7C KC 3S AD JD ,    Pair
KC 6D JS 3D QH 7D JD ,    High Card
AH 5H 3C QS 10D KS 10S ,    High Card
AS 8C 10C 2S 8H AD 6H ,    High Card
5H 9D 7C 7D 3H AS 8D ,    Pair
6S 6D AD 6H 4H 9C 8S ,    Pair
JC 2C 5S 7C QS KH 9D ,    High Card
3D QH QC 5C 7S 3C 5D ,    Pair
10S KS KC JS KD 9S 10C ,    Pair
7S QS 7D 10D JH KD 9S ,    Pair
4C 2C QC AS 2S QD 6S ,    High Card
2D 5C 8S 10C 6C 9D AC ,    High Card
8C 3C 4S AH 7H 10H QH ,    High Card
2D 9D JS 6S JC JH JD ,    Two Pair
8H AD 9C 8D 9S 7S 10C ,    High Card
AS 3H 4D 10S 4C 5C KS ,    Pair
QD 7H 4H KH 3D JS JD ,    High Card
JH 5C 6C KS 2D 10H AD ,    High Card
8H QH JC 8S 6H 4C KC ,    High Card
AH 7D JH 9S 5D 10D JC ,    High Card
KD 9H 6C AD QD 3C QC ,    High Card
5C 8H 9C 3H 7C 2D 7H ,    High Card
KC JD 10C 6S 4C 10H 9D ,    High Card
7C 3S 9C 10C 6S QS JD ,    High Card
4H 8D AS 3D 4S 6H 7H ,    High Card
5D 5C 5S 8C 2S QC 6D ,    Three Kind
5H 8H 10C 3H 5D 5S 9S ,    Pair
AS QH 3D 8S 4H 3C 10D ,    High Card
2D 7S 6C QS 4S AH 5C ,    High Card
4C 2S 8D 6H 4D QD 9C ,    High Card
JC 8S 8H 4H KS 7C 8D ,    Pair
10C 8C QS 5H 7S QC 5S ,    High Card
4S 10D 9S QD KC JD 7H ,    High Card
AD KS 4C 8S 9S QS 6D ,    High Card
9C 5S JD QC 10S QH 7H ,    Pair
5C 3D AC QD KH 2D 10D ,    High Card
8H 4H 3H 6H AS 4D 2H ,    Flush
4H KS 2H 6S AS 8D 6D ,    High Card
QC 3S 9H 8S 7S 10S AD ,    High Card
6C 5C 5H 10D 4C QD 7D ,    Pair
5C 7C 2S 9C 4C 3D 10S ,    High Card
3H 6D 7D 3C 8S 3S 6H ,    High Card
KS 5S 10C QD 8H KH 9H ,    High Card
5H KD 9S 7S 8D 7H JH ,    High Card
KD 7C 10C QC AH 4C 6D ,    High Card
3D 10H 9C 5S 6S 8D KH ,    High Card
5H JH 3S 7H AC 8S 4H ,    High Card
KD 2C 10H 6S KS QD 7C ,    High Card
5H 7D 2D 9H 10D 4C QH ,    High Card
6D JD 6C 2S AH 8S QC ,    Pair
3S 2H 6H 5C 5S 8H JS ,    Pair
9S 10D QS 5D 8C KH QD ,    High Card
2C KC 10C 9D 7D 6S 5H ,    High Card
3D JH 6H 9C 8S JD 4D ,    High Card
AH KD KH 6H 10C 5S KC ,    Pair
2H KH KD 2S AH 4D 3H ,    Pair
7D 3C JH 6H AS 9H 8H ,    High Card
4S JD 8D KC 6D QC AD ,    High Card
6C QS 7C QD AC 4H 5D ,    High Card
JC 7H 4C AC 8H 4H 9S ,    High Card
KD 2D 5D 4D 5S 9D AH ,    Flush
7D 2H AS 3H 5C 2S JH ,    High Card
7D 9C AS JC 3C JH AD ,    High Card
9D QS KH 6S QC 8H 3D ,    High Card
2D 5C JD 4D 4H KD 10D ,    Pair
JS 8D 9H AH 4C QD 5D ,    High Card
4H QC KH 8H 9S 10C 8S ,    High Card
JC 2C 2H 9H 4C 6S 2D ,    Pair
3D AS 4S KC JS KS 5D ,    High Card
6C 4D 6D 3H 4H 10H 5S ,    Pair
5D 7D 2C QH AS JH 4C ,    High Card
7C JD 10D 7H 5H 9S JS ,    Pair
QC 5C 8D 2H 3C 3S KS ,    Pair
7H 8H 4S JD 4D 6C 7D ,    High Card
9H KD 10S 6S 3D KS 3C ,    High Card
QH 9C 5H 2D AH JC AC ,    High Card
8S 2C 9D JH 7D AH 10D ,    High Card
10S 9S 6D 7S QH 3H 5H ,    High Card
8C QS AC QD 7H 9C 3S ,    High Card
4H AD 5D 6S JD 8D 2H ,    High Card
8S QD AD 4H AC 6S KC ,    High Card
5D 7H 8C 4S 4C 5C JH ,    Pair
9H 3D 3S 6C JD QS 9C ,    Pair
8H AC 4C 10H 2H 10C KC ,    High Card
4S 5C 5S 5D 3S 7S 6H ,    Straight
8C KS AH 2D 2S JS KD ,    Pair
JD 9H 3D JH 4D KH 10D ,    High Card
KH 2H 6D AH QH 4D 4S ,    High Card
7D 2C 9C 7C 3D 5S AC ,    High Card
10C AD JH KD 10S QC AS ,    High Card
9D 2H 8C QD 6S AH 10C ,    High Card
QC 3S 2D 4S 5D 3D AD ,    High Card
JC KS 5S QS 8H 6C JS ,    High Card
4D 9H JD 4H KH 3H 7S ,    High Card
8D 10D AH JC 10H 6C 7H ,    High Card
9C 6D 5H 9S 8S JD 10C ,    High Card
4S QS KD 8C 2D 6S AD ,    High Card
5D 7D 8H AD 6C 8C 4H ,    Straight
2D 5S 10D JD 10H 8D 4S ,    High Card
7C 5C 10S 3C 9S JH 8S ,    High Card
6D 6S AC 6H AS 7H 7S ,    Two Pair
2C 3S 3C 6H 9D 2D KC ,    Pair
KS 5D 5H 7D 7C 6D 7S ,    Two Pair
5S 3D JD JS AD 8H 10D ,    Pair
10S QH 5H 9H QS 9C 7D ,    High Card
4H 6S AD 5C 9C 10C AH ,    High Card
QH 9D 8S 7D 2S 5D 3C ,    High Card
QS JD JH QD JC 7C 8C ,    Pair
KS 9S KC 5H KD 9H 3H ,    Pair
10S 8H 3S 8S KH 9S 6H ,    High Card
JH 3H 7C 10D AS 4H 7D ,    High Card
10C AC 6S 7S 2H 5H 2S ,    High Card
JS 3C 5C 5S 10D 10C 7S ,    Pair
7C 10S 4D JD 5H QH QC ,    High Card
2D AD JC 8C AH KD 4S ,    High Card
2H 2S 8D 6C 9C 4H 5D ,    Pair
9D AD 3H 9C 10C JH JS ,    High Card
5S 3C QS 5D AS 4D 6D ,    High Card
QD 7D 10S 7H 10H JD 10D ,    Pair
6C JD 8C AS AD 5S 10S ,    Pair
QH 5C AC 7H 6D 4S 6H ,    High Card
KH 10D AH 5D 2S 10C 9C ,    High Card
10H 6S 5H 9S 8H QS JC ,    High Card
8C 4C 8H 7H QD KH 5D ,    Pair
4D QS 10C 4H 2H 9C 6D ,    Pair
QC 7S 9H KS 5H JH JD ,    High Card
10S 5D 3C AH KS 4D KD ,    High Card
7C 8C 8D 7S 9H 2C AC ,    Pair
QH 10D QD 10C 7D 9S 2H ,    Pair
9C JD 9D KH AS 7H 5H ,    Pair
QD 7H 4H 4C 3D 4D 10S ,    Pair
5H 10C AD 2H 2C 6H 9H ,    Pair
8D QC AS 5C JC 7D KD ,    High Card
QS QH 10S AD KD 4H 3C ,    Pair
3D 2S KC 4S 2H 7D 5S ,    High Card
6S 9H 6C 6D JH 10D 8C ,    Pair
8D 5D KH 2C 7S JC 10H ,    High Card
5C KH 10S 9H 9S JC 6H ,    Pair
7H 3S 4D 9C KD 10D QS ,    High Card
3D 7D 7C 8C QC KC 8H ,    Pair
8H KS 5C 5S 10C JD JH ,    Two Pair
2D 6D AC KD 2H 3C 9S ,    High Card
4H 6C 10S QH 3S 8S 8C ,    High Card
7D 5D 3D KC 6H 4C 9D ,    Straight
KC 4S 8C 10S 3D 5H 9D ,    High Card
AD 10D JD 5C 6S 3H 8H ,    High Card
7H 4C 7D QC AS JC 2H ,    Pair
4S 6S 5D AH 2H 9S KH ,    High Card
7C 4D 10S AC 10H 10D 2D ,    High Card
2C 7S QC 9D 5S JS 8S ,    High Card
JD 3C 5H 6C JC 9H 8D ,    High Card
JC 8S 8H 7D 6D 6S KC ,    Two Pair
QH 10S JD 8C 2D 5S 4C ,    High Card
QS 10H 7H 7C 5H 3S 5C ,    Pair
JD JH 3S 3C 3H AS 4H ,    Two Pair
KH 6S 8D 3S AC 4H 4D ,    High Card
9H QD 10D 7H 8S 6D JD ,    High Card
9C 8H KD 6H 3C 5H 5S ,    High Card
7D 10S 9D 4C QS 10H 2C ,    High Card
10C 2H 9C 2C QH AC QC ,    High Card
4S 5D 3C 3H JC 6D AH ,    Pair
5S 3D 9H 10D 8S KS AS ,    High Card
9S 3H 3D 2S QD JC 6D ,    Pair
QS 3C 10H 7D AH 8C 4C ,    High Card
9D 7S 2D AS JD KH 5S ,    High Card
2C 5H 7C AD 8H 7H KS ,    High Card
6H 6S 4H 6D KC 10S 2S ,    Pair
QS 2C 9S 4S 9C 8S 5C ,    High Card
7H 10C AD 7S 10H JH 4C ,    High Card
5C 5H 7C 5S 10H QD 8C ,    Pair
KD 6D 10S 7H 5D 6S KS ,    High Card
9D 2H 2D 3D 10C 2C 4C ,    Pair
JS QS 8H 9C AS JC 7S ,    High Card
JH AD 5H 4S KD AH QH ,    High Card
8D 8H KH AS 7C JS 5D ,    Pair
3C 7S 6S 3D 6D 3S 5C ,    High Card
KH 10D 2C 3C 9C 7C 9S ,    High Card
7H KD KS 9H 2H 6D 5D ,    Pair
4H QS QH 9D 8H AS 10H ,    Pair
3S 3D AD 4C 8D QC JH ,    Pair
3S QC KD 9S JD 8H 5C ,    High Card
10S 5S JS JH 9H 4H 6H ,    Pair
6D 9D 6S AS 3H AD 2S ,    Pair
3D 8S 5S KD AS 4H 8H ,    High Card
10S 7C JC 4C 6H 4S JS ,    High Card
5H 5C AH 7H 6D 2D KS ,    Pair
3C 2H JH 3H KC 9C 10H ,    High Card
8H AH 2C 9C 2H 3C 5H ,    High Card
5S 4S JS KD KS JD 5C ,    Pair
4C 9S 8D 3D 7H 2S KC ,    High Card
AD 6D 9C 5S QC 5H AH ,    High Card
4C 10H KH QS 6C 9D 7D ,    High Card
10D AS 4S 8H 2C JH 3C ,    High Card
JC KC KD 10S 8S 3H 3S ,    Two Pair
AD 9S 2D QS 2H 6S 4D ,    High Card
8H 4S 10C 6C 5S 9H 5H ,    High Card
JD JH 6H 10D KD 4H QH ,    Pair
8C 3C 4C 5S QS 9C AD ,    High Card
2D JD 4D AS JS 9D 6H ,    High Card
AC 5D 6C 6D 10D 7D QC ,    Pair
9H 2S 2H KC 4H 4S 3D ,    Two Pair
2D JH AH 2S QC 3H KS ,    High Card
5C 8D QS 6C 8C 5H 9S ,    High Card
10H 2H 3S 7D 8H 9D 9C ,    High Card
QD 5D 6S 7H AD 9D 10C ,    High Card
5D QS JC 2C 4C 6C 7D ,    High Card
KC 6H QD 4D 2D JH 7C ,    High Card
10S 9S 8C 3D 10C 4H JD ,    High Card
8H 2H 3S AC 8D AS QH ,    High Card
KS 2D 5S 6D 4S 5C KH ,    High Card
2C 5D QD QC AC 7D 3D ,    Pair
8H 5H JD 6H 10D 7C 4D ,    Straight
5C 6D 4D 4C 7C 8S 10S ,    Straight
KS 10H 9D 8D 3H 3S 2H ,    Pair
QC 4H 7H AC 7S 9C 5D ,    High Card
AS 5S JC KD 6H 6C JS ,    Pair
AC 6D QD 2D 5C 3C 4D ,    Straight
4C 2C 4S KD 8C 2S 5S ,    Pair
9D 5H KC 10C 4H 5D AS ,    High Card
QC JH 9S 9H JD 8S 3S ,    Pair
10D 8D 2D 5D 5C KD 4S ,    Pair
3H 6S 3C 5H QH 6C 7S ,    Pair
9D 6H 8H KC KS 6D KH ,    Pair
AS AC 5H 9S 7C QH 5S ,    Pair
10H 8C 7H 10D KD QD 2D ,    High Card
4H 6D 2S 6H 9H 8S 6S ,    High Card
2C 6D 4S 10H AD 4C 5S ,    High Card
KS JC 3H 10D JS 8D QD ,    High Card
6H 4H KH QC 7H AC KD ,    High Card
9C KC 9H 9D 6C JH 5D ,    Pair
9S 3C JC 7S 5S JD 7C ,    High Card
AD 10S 4D AH 10D 2D 6H ,    High Card
10C 6C 3S 7H 8S 4S 5D ,    Straight
3H 6C 8H KD 10S 7D 3D ,    High Card
AC 8C 5C 9D 7H 6S QC ,    Straight
10C 4H KH 5D AH QD 7S ,    High Card
JS 5S JD KC 3S QS 3C ,    Pair
9S QH 4S KH JS QS 8H ,    High Card
6D AS 2H JC 2D AC 4H ,    High Card
7S 6C 3H 5D 10D 7H 4C ,    Straight
KD JC 3H 10D 8H 2D 3D ,    High Card
KH 9D 3C 4H 8S 9C 5D ,    High Card
5S JS KC 4C 7S QC AS ,    High Card
KS 6C 6D 9H 4S 6S 5H ,    Pair
QC KD 5C KC 6C 3D 7S ,    High Card
AC QS 3S JC 3H 6S 4S ,    High Card
JD 6D 5D 7H 9S 3C 7D ,    High Card
5S 8C 5H 2S JH 9D 2H ,    Pair
9S AS 6C 9C 7D 2C KS ,    High Card
3D AC 10S 7S 8S 10H QC ,    High Card
8D 6D QS AD 6H 10C QD ,    High Card
9H 10D QD QC 5H 7S 10C ,    Pair
4S 3D 2S JS 10S 6S 8D ,    High Card
3C 3S 2D 9C AD 4H 10H ,    Pair
2C 4C JH 2H 4D 8C 8D ,    High Card
QH AH AC AD 10H 2C 5S ,    Pair
6S 9H 7C QC 2H 6H 6C ,    High Card
9D 8D 7S 8S 10D 3S JS ,    High Card
AS KC JH KS 6D 10S 4D ,    High Card
9C 5C 10C 8D 4S 9H QS ,    High Card
AS 5D 10H 3D 10D 8S QD ,    High Card
5H 7C JD 3S AD 3C QC ,    High Card
4C 8C 7C 6C 2C 5D JS ,    Straight Flush
10D 7S KS JC QH 2S 9H ,    High Card
4S 3C 6S 10C 8S AS 4H ,    High Card
3S 8H JH AC 6H 9S 5S ,    High Card
6H 9S 2S KD 3C 4S 7S ,    High Card
4C 10H 7H 7D 7C 6S 3H ,    Pair
